"Specie","Author1","Author2"
"Tachigali schultesiana","Dwyer",NA
"Platymiscium pubescens subsp. fragans","Micheli","(Rusby) Kligaard"
"Desmodium membranifolium","L.C.P. Lima, A.M.G. Azevedo & L.P. Queiroz",NA
"Desmodium microcarpum","(Rusby) L.C.P. Lima, A.M.G. Azevedo & L.P. Queiroz",NA
"Deguelia decorticans","R.A. Camargo & A.M.G. Azevedo",NA
"Ormosia timboensis","D.B.O.S.Cardoso, Meireles & H.C.Lima",NA
"Ancistrotropis arrabidae","(Steud.) A. Delgado",NA
"Ancistrotropis clitorioides","(Mart. ex Benth.) A. Delgado",NA
"Acacia plumosa","Martius ex Colla",NA
"Senna multijuga var. verrucosa","(Rich.) H.S.Irwin & Barneby","(Vogel) H.S. Irwin & Barneby"
"Coursetia caatingicola","L.P.Queiroz",NA
"Haematoxylum",NA,NA
"Haematoxylum campechianum","L.",NA
"Hymenaea fariana","R.D. Ribeiro, D.B.O.S. Cardoso & H.C. Lima",NA
"Calliandra trinervia var. carbonaria","Benth.","(Benth.) Barneby"
"Bauhinia funchiana","Vaz & G.P. Lewis",NA
"Bauhinia malmeana","Vaz & G.P. Lewis",NA
"Bauhinia piresii","Vaz & G.P. Lewis",NA
"Bauhinia uberlandiana","Vaz & G.P. Lewis",NA
"Mimosa equisetum","Barneby",NA
"Deguelia occidentalis","(Ducke) A.M.G. Azevedo & R.A. Camargo",NA
"Zornia melanocarpa","Fort.-Perez",NA
"Canavalia reflexiflora","Snak, G.P. Lewis & L.P. Queiroz",NA
"Chamaecrista petiolata","M. Cota & Rando",NA
"Mucuna pruriens var. utilis","(L.) DC.","(Wall. ex Wight) Baker ex Burck"
"Chamaecrista cultrifolia","(Kunth) Britton & Rose ex Britton & Killip",NA
"Trifolium dubium","Sibth.",NA
"Cassia fistula","L.",NA
"Discolobium psoraleaefolium","Benth.",NA
"Trifolium vesiculosum","Savi",NA
"Trifolium pratense","L.",NA
"Vigna hosei","(Craib) Backer",NA
"Trifolium resupinatum","L.",NA
"Vicia sativa","L.",NA
"Vicia angustifolia","L.",NA
"Trifolium repens","L.",NA
"Cassia javanica","L.",NA
"Arachis veigae","S.H. Santana & Valls",NA
"Paubrasilia",NA,NA
"Paubrasilia echinata","(Lam.) Gagnon, H.C.Lima & G.P.Lewis",NA
"Dialium rondoniense","M. J. Falcão & Mansano",NA
"Machaerium saraense","Rudd",NA
"Mimosa fiebrigii","Hassl.",NA
"Mimosa craspedisetosa","Fortunato & Palese",NA
"Copaifera krukovii","(Dwyer) J.A.S. Costa",NA
"Chamaecrista floribunda","M. J. Silva & A. O. Souza",NA
"Chamaecrista irwiniana","A.O. Souza & M.J. Silva",NA
"Chamaecrista tenuicaulis","A. O. Souza & M. J. Silva",NA
"Chamaecrista sparsifolia","A. O. Souza & M. J. Silva",NA
"Chamaecrista obolaria","(H.S. Irwin & Barneby) A.O. Souza & M.J. Silva",NA
"Schnella lilacina","(Wunderlin & Eilers) Wunderlin",NA
"Copaifera oblongifolia var. dawsonii","Mart. ex Hayne",NA
"Moldenhawera longipedicellata","C.V. Vivas & L.P. Queiroz",NA
"Parkinsonia praecox","(Ruiz & Pav.) Hawkins",NA
"Harpalyce magnibracteata","São-Mateus, D.B.O.S.Cardoso & L.P.Queiroz",NA
"Lathyrus ibicuiensis","M.L. Abruzzi de Oliveira",NA
"Macrosamanea arenicola","(R.S. Cowan) W.L. Silva, Iganci, M.P. Morim & J.U. Santos",NA
"Abarema diamantina","E.Guerra, Iganci & M.P.Morim",NA
"Inga retinocarpa","Poncy",NA
"Amburana erythrosperma","E.P.Seleme, C.H.Stirt. & V.F.Mansano",NA
"Stryphnodendron rotundifolium var. villosum","Mart.","(Benth.) Scalon"
"Stryphnodendron rotundifolium var. rotundifolium","Mart.",NA
"Galactia neesii var. australis","DC.","Malme"
"Macroptilium cochleatum","A. Delgado & G. P. Lewis",NA
"Mimosa barnebiana","Fortunato & Tressens",NA
"Senegalia cearensis","Terra & Garcia",NA
"Mimosa granitica","(Barneby) L.M. Borges",NA
"Mimosa neonitens","(Benth.) L.M. Borges",NA
"Mimosa rupigena","(Barneby) L.M. Borges",NA
"Trifolium campestre","Schreb.",NA
"Trifolium incarnatum","L.",NA
"Trifolium subterraneum","L.",NA
"Trifolium hatschbachii","Vincent & Butterworth",NA
"Hymenaea cangaceira","R.B.Pinto, Mansano & A.M.G.Azevedo",NA
"Dinizia jueirana-facao","G. P. Lewis & G. S. Siqueira",NA
"Dialium guineense","Willd.",NA
"Schnella angulosa var. bahiana","(Vogel) Wunderlin","(Vaz) Trethowan & R. Clarck"
"Schnella angulosa var. meridionalis","(Vogel) Wunderlin","(Hoehne) Trethowan & R. Clarck"
"Parasenegalia",NA,NA
"Parasenegalia santosii","(G.P. Lewis) Seigler & Ebinger",NA
"Chamaecrista nictitans var. disadena","(L.) Moench",NA
"Chamaecrista nictitans var. disadena","(L.) Moench",NA
"Chamaecrista nictitans var. patellaria","(L.) Moench","(Chodat & Hassl.) H.S.Irwin & Barneb"
"Mimosa porrecta","L. Jordão, M. P. Morim & Baumgratz",NA
"Mimosa osmarii","L. Jordão, M.P. Morim, Baumgratz & Marc. F. Simon",NA
"Lachesiodendron",NA,NA
"Lachesiodendron viridiflorum","(Kunth) P.G.Ribeiro et al.",NA
"Mimosa terribilis","Marchiori & Sobral ex Schmidt-Silveira & Miotto",NA
"Mimosa caccavariana","J.Santos-Silva & A.M.G.Azevedo",NA
"Lophocarpinia",NA,NA
"Lophocarpinia aculeatifolia","(Burkart) Burkart",NA
"Biancaea",NA,NA
"Biancaea decapetala","(Roth) O. Deg.",NA
"Cenostigma bracteosum","(Tul.) E. Gagnon & G.P. Lewis",NA
"Cenostigma laxiflorum","(Tul.) E. Gagnon & G. P. Lewis",NA
"Cenostigma microphyllum","(Mart. ex G. Don) E. Gagnon & G.P. Lewis",NA
"Cenostigma nordestinum","E. Gagnon & G.P. Lewis",NA
"Cenostigma pluviosum","(DC.) E. Gagnon & G.P. Lewis",NA
"Cenostigma pluviosum var. cabralianum","(DC.) E. Gagnon & G.P. Lewis","(G.P. Lewis) E. Gagnon & G.P. Lewis"
"Cenostigma pluviosum var. pluviosum","(DC.) E. Gagnon & G.P. Lewis",NA
"Cenostigma pluviosum var. intermedium","(DC.) E. Gagnon & G.P. Lewis","(G.P. Lewis) E. Gagnon & G.P. Lewis"
"Cenostigma pluviosum var. paraense","(DC.) E. Gagnon & G.P. Lewis","(Ducke) E. Gagnon & G.P. Lewis"
"Cenostigma pluviosum var. peltophoroides","(DC.) E. Gagnon & G.P. Lewis","(Benth.) E. Gagnon & G.P. Lewis"
"Cenostigma pluviosum var. sanfranciscanum","(DC.) E. Gagnon & G.P. Lewis","(G.P. Lewis) E. Gagnon & G.P. Lewis"
"Cenostigma marginatum","(Tul.) E. Gagnon & G.P. Lewis",NA
"Cenostigma pyramidale","(Tul.) E. Gagnon & G.P. Lewis",NA
"Cenostigma pyramidale var. pyramidale","(Tul.) E. Gagnon & G.P. Lewis",NA
"Cenostigma pyramidale var. diversifolium","(Tul.) E. Gagnon & G.P. Lewis","(Benth.) E. Gagnon & G.P. Lewis"
"Swartzia hilaireana","Mansano & Torke",NA
"Tephrosia chaquenha","R.T. Queiroz & A.M.G. Azevedo",NA
"Aeschynomene veadeirana","Silva, M.J. & Antunes, L.L.C.",NA
"Pterocarpus dubius","(Kunth) Spreng.",NA
"Chamaecrista arrojadoana","(Harms) Rando",NA
"Mimosa urbica","(Barneby) Marc.F.Simon",NA
"Aeschynomene fluvialis","Antunes, L.L.C. & Silva, M.J.",NA
"Aeschynomene eridesii","L.L.C. Antunes & M.J. Silva",NA
"Dicymbe fraterna","R.S.Cowan",NA
"Mimosa tweedieana","Barneby ex Glazier & Mackinder",NA
"Zygia stipularis","(Benth.) L.Rico",NA
"Sesbania herbacea","(Mill.) McVaugh",NA
